name,Total - Age groups and average age of the population - 100% data,0 to 14 years,0 to 4 years,5 to 9 years,10 to 14 years,15 to 64 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 years and over,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,85 to 89 years,90 to 94 years,95 to 99 years,100 years and over
Arbutus-Ridge,"15,295",2015,455,685,880,9805,1230,1165,805,570,560,965,1350,1310,920,935,3480,915,635,590,525,810,430,270,90,20
Downtown,"62,030",4000,2080,1105,810,51275,1180,4050,8810,9750,6620,4755,4610,4160,3970,3365,6760,2640,1710,1095,700,615,390,170,45,10
Dunbar-Southlands,"21,425",3545,675,1225,1650,14215,1800,1740,1110,695,765,1325,2025,1895,1460,1400,3660,1290,865,655,415,430,265,115,45,10
Fairview,"33,620",2580,1240,760,580,25140,655,1865,4025,4395,3175,2450,2340,2110,2145,1980,5895,2005,1345,930,690,930,525,270,105,25
Grandview-Woodland,"29,175",3210,1320,1025,865,22535,830,1525,3450,3720,2835,2425,2220,2025,1885,1615,3435,1330,750,520,425,415,290,100,25,5
Hastings-Sunrise,"34,575",4595,1510,1560,1525,23945,1780,2360,2755,2515,2265,2300,2615,2800,2490,2055,6040,1775,1065,1125,1085,990,655,265,60,10
Kensington-Cedar Cottage,"49,325",7060,2515,2390,2160,35385,2630,3470,4325,4205,3805,3700,3640,3570,3190,2840,6875,2190,1385,1280,1035,985,640,260,65,15
Kerrisdale,"13,975",1880,430,600,845,9395,1050,1150,905,560,545,770,1245,1245,1045,885,2700,850,675,495,360,320,195,100,20,0
Killarney,"29,325",4185,1300,1400,1485,19985,1760,1995,1755,1800,1810,2040,2165,2395,2290,1975,5150,1745,1045,890,710,765,475,195,80,10
Kitsilano,"43,045",4315,1720,1405,1195,32805,1420,3250,5300,5080,3640,2990,3205,2895,2620,2405,5925,2300,1475,855,575,725,435,210,65,15
Marpole,"24,460",2635,905,855,885,18045,1400,2060,2185,1815,1535,1535,1980,2135,1830,1570,3780,1340,815,620,440,555,330,170,55,10
Mount Pleasant,"32,955",3080,1565,910,605,27060,630,1710,4895,5705,3935,2870,2165,2025,1740,1380,2825,1195,610,415,290,305,180,95,25,5
Oakridge,"13,030",1565,490,480,590,8560,835,1040,995,735,645,685,920,1010,825,855,2910,855,540,500,440,580,310,220,45,5
Renfrew-Collingwood,"51,530",6305,2065,2115,2130,37315,2815,4340,4820,3985,3490,3350,3570,4115,3685,3145,7910,2545,1570,1495,1215,1085,700,300,70,15
Riley Park,"22,555",3415,1175,1160,1080,15875,1065,1335,1955,2010,1745,1680,1710,1700,1425,1240,3260,1115,610,565,485,490,305,135,40,10
Shaughnessy,"8,430",1175,270,405,500,5440,575,635,545,445,380,385,685,665,570,565,1820,555,370,275,240,385,185,130,60,10
South Cambie,"7,970",1105,360,365,375,5430,380,475,705,670,635,530,620,530,460,425,1435,375,255,210,235,360,170,145,40,10
Strathcona,"12,585",1065,360,365,340,8745,370,575,885,960,960,830,985,1080,1150,945,2775,830,485,495,445,520,310,140,60,10
Sunset,"36,500",5460,1695,1780,1985,25490,2570,2975,2900,2450,2535,2540,2660,2610,2320,1925,5550,1735,1195,1010,865,745,480,200,50,10
Victoria-Fraserview,"31,065",3790,1175,1210,1410,21090,1895,2220,2295,1985,1795,1805,2080,2450,2375,2205,6185,1885,1110,1120,935,1135,670,340,95,25
West End,"47,200",1945,965,560,415,38255,610,3100,7375,7140,4750,3280,3145,3230,2945,2680,7000,2485,1815,1155,750,800,490,240,55,10
West Point Grey,"13,065",1900,420,670,810,8660,915,1215,780,610,575,755,1055,1030,865,860,2510,900,605,415,275,310,195,80,25,5
Vancouver CSD,"631,485",70530,24615,22905,23010,463390,28265,44150,63475,61715,48915,43890,46890,46845,42100,37150,97565,32760,20835,16630,13115,14225,8615,4140,1215,255
Vancouver CMA,"2,463,430",362110,116270,122730,123110,1714005,142285,167270,179940,182625,167950,168375,184285,191375,177095,152810,387315,131035,89675,66505,48825,51275,31475,14870,4190,740